month,channel,campaign,visitors,leads,mqls,sqls,customers,spend_usd,revenue_usd
2025-12,Content Syndication,Webinar Syndication,3163,77,22,4,0,11767.14,0.0
2026-01,Organic Search,SEO - Blog,7299,287,160,53,15,0.0,63240.64
2026-01,Organic Search,SEO - Comparison Pages,6584,241,150,50,10,0.0,36525.68
2026-01,Organic Search,SEO - Landing Pages,6629,300,155,50,11,0.0,40108.92
2026-01,Paid Search,Google Ads - Brand,3559,204,95,31,6,6728.99,22267.25
2026-01,Paid Search,Google Ads - Competitor,3725,193,96,33,6,7715.06,27321.19
2026-01,Paid Search,Google Ads - Generic,3703,217,102,32,6,8061.31,23145.59
2026-01,Paid Social,LinkedIn - Lead Gen,4252,174,57,14,2,4350.22,7259.38
2026-01,Paid Social,Meta - Retargeting,3993,163,52,11,1,4050.25,4351.39
2026-01,Paid Social,Meta - Prospecting,4132,148,57,16,1,4866.43,4350.09
2026-01,Email,Newsletter,2013,189,125,50,18,99.73,77945.67
2026-01,Email,Nurture Sequence,2565,205,134,55,18,130.83,69166.95
2026-01,Email,Product Updates,2182,171,89,32,8,98.61,30228.12
2026-01,Referral,Partner Referral,2391,246,171,79,35,0.0,130507.76
2026-01,Referral,Customer Referral,2000,204,119,59,27,0.0,96954.04
2026-01,Direct,Direct/None,8999,511,217,82,23,0.0,100129.53
2026-01,Content Syndication,Sponsored Content,2609,53,16,2,0,9745.58,0.0
2026-01,Content Syndication,Webinar Syndication,2880,64,21,3,0,10187.94,0.0
2026-02,Organic Search,SEO - Blog,6772,332,186,82,28,0.0,118114.49
2026-02,Organic Search,SEO - Comparison Pages,5489,276,152,58,12,0.0,48812.51
2026-02,Organic Search,SEO - Landing Pages,6781,262,164,57,13,0.0,61358.11
2026-02,Paid Search,Google Ads - Brand,2937,188,100,40,8,6188.69,36036.5
2026-02,Paid Search,Google Ads - Competitor,3437,248,126,37,9,7745.42,41180.42
2026-02,Paid Search,Google Ads - Generic,2828,162,86,24,6,5792.88,26858.0
2026-02,Paid Social,LinkedIn - Lead Gen,4784,160,57,14,2,5166.77,8656.47
2026-02,Paid Social,Meta - Retargeting,4846,167,57,13,1,4937.32,3775.22
2026-02,Paid Social,Meta - Prospecting,4523,148,63,14,1,5227.55,4680.11
2026-02,Email,Newsletter,2000,149,80,36,10,95.19,36269.18
2026-02,Email,Nurture Sequence,2131,214,134,60,14,101.27,55179.81
2026-02,Email,Product Updates,2313,226,151,81,30,126.13,109814.88
2026-02,Referral,Partner Referral,1910,167,110,46,20,0.0,85067.58
2026-02,Referral,Customer Referral,1928,165,96,54,21,0.0,82803.03
2026-02,Direct,Direct/None,7211,381,197,72,14,0.0,52108.36
2026-02,Content Syndication,Sponsored Content,2997,62,17,3,0,10308.17,0.0
2026-02,Content Syndication,Webinar Syndication,2474,67,22,4,0,8712.43,0.0
2026-03,Organic Search,SEO - Blog,5759,224,139,64,20,0.0,83763.32
2026-03,Organic Search,SEO - Comparison Pages,6292,287,154,52,11,0.0,45950.95
2026-03,Organic Search,SEO - Landing Pages,7084,275,153,54,13,0.0,48358.46
2026-03,Paid Search,Google Ads - Brand,3508,211,108,37,7,7413.78,26641.45
2026-03,Paid Search,Google Ads - Competitor,3575,261,139,48,8,8139.13,32001.18
2026-03,Paid Search,Google Ads - Generic,2697,164,89,32,7,5996.31,26859.44
2026-03,Paid Social,LinkedIn - Lead Gen,4686,159,62,12,2,4928.72,7296.4
2026-03,Paid Social,Meta - Retargeting,4105,122,41,10,1,4896.47,3972.14
2026-03,Paid Social,Meta - Prospecting,4439,152,60,15,2,5322.42,8003.64
2026-03,Email,Newsletter,1877,170,112,41,11,101.22,49659.71
2026-03,Email,Nurture Sequence,2385,205,128,53,19,116.06,85509.95
2026-03,Email,Product Updates,2018,175,111,50,18,99.27,78935.59
2026-03,Referral,Partner Referral,1980,181,115,48,14,0.0,61543.33
2026-03,Referral,Customer Referral,2180,167,102,44,19,0.0,73735.53
2026-03,Direct,Direct/None,7642,357,159,44,9,0.0,42453.11
2026-03,Content Syndication,Sponsored Content,2366,60,19,4,0,7875.41,0.0
2026-03,Content Syndication,Webinar Syndication,2458,73,21,4,0,8431.05,0.0
2026-04,Organic Search,SEO - Blog,6436,283,176,80,20,0.0,83743.57
2026-04,Organic Search,SEO - Comparison Pages,6477,272,138,64,21,0.0,100853.29
2026-04,Organic Search,SEO - Landing Pages,6688,332,196,77,21,0.0,92031.92
2026-04,Paid Search,Google Ads - Brand,2918,171,87,29,5,6515.15,23271.59
2026-04,Paid Search,Google Ads - Competitor,2804,146,69,27,6,5462.47,27273.98
2026-04,Paid Search,Google Ads - Generic,2756,171,98,30,5,5698.24,21753.91
2026-04,Paid Social,LinkedIn - Lead Gen,4693,195,64,13,2,4925.49,9369.82
2026-04,Paid Social,Meta - Retargeting,4357,128,53,11,1,4842.72,4200.97
2026-04,Paid Social,Meta - Prospecting,4385,162,70,20,2,4432.99,8974.17
2026-04,Email,Newsletter,2373,187,110,48,11,122.74,44167.26
2026-04,Email,Nurture Sequence,2255,217,142,61,16,118.36,73276.01
2026-04,Email,Product Updates,2071,203,108,55,13,96.37,55154.3
2026-04,Referral,Partner Referral,1807,140,77,37,15,0.0,65877.67
2026-04,Referral,Customer Referral,2278,187,108,61,26,0.0,119656.99
2026-04,Direct,Direct/None,6380,336,172,51,13,0.0,58699.36
2026-04,Content Syndication,Sponsored Content,2568,60,16,2,0,8302.95,0.0
2026-04,Content Syndication,Webinar Syndication,2343,50,16,2,0,7605.49,0.0
2026-05,Organic Search,SEO - Blog,6352,273,167,79,26,0.0,100053.34
2026-05,Organic Search,SEO - Comparison Pages,6753,278,163,66,18,0.0,80374.88
2026-05,Organic Search,SEO - Landing Pages,5535,204,115,45,11,0.0,49774.64
2026-05,Paid Search,Google Ads - Brand,3541,235,113,35,7,7160.59,29965.32
2026-05,Paid Search,Google Ads - Competitor,3396,182,77,23,6,7340.26,22720.02
2026-05,Paid Search,Google Ads - Generic,3603,231,114,46,7,7135.29,30156.5
2026-05,Paid Social,LinkedIn - Lead Gen,3908,146,50,10,1,4232.37,3791.93
2026-05,Paid Social,Meta - Retargeting,3829,153,55,12,1,4091.75,3903.66
2026-05,Paid Social,Meta - Prospecting,4443,137,58,16,1,4503.55,3715.31
2026-05,Email,Newsletter,2227,160,106,52,18,111.93,86864.64
2026-05,Email,Nurture Sequence,1856,151,85,45,14,98.48,52984.82
2026-05,Email,Product Updates,2459,208,124,66,18,120.43,77522.19
2026-05,Referral,Partner Referral,1910,168,99,41,18,0.0,72394.7
2026-05,Referral,Customer Referral,2091,193,130,76,35,0.0,139470.47
2026-05,Direct,Direct/None,7416,418,198,69,17,0.0,68095.55
2026-05,Content Syndication,Sponsored Content,2590,54,14,2,0,8547.46,0.0
2026-05,Content Syndication,Webinar Syndication,2894,65,21,4,0,10471.25,0.0
2026-06,Organic Search,SEO - Blog,7800,335,207,85,17,0.0,75264.57
2026-06,Organic Search,SEO - Comparison Pages,7010,255,150,68,19,0.0,67961.03
2026-06,Organic Search,SEO - Landing Pages,7472,313,191,72,20,0.0,75446.83
2026-06,Paid Search,Google Ads - Brand,3724,241,121,50,13,8376.65,49483.04
2026-06,Paid Search,Google Ads - Competitor,3537,264,127,37,9,7400.61,38530.21
2026-06,Paid Search,Google Ads - Generic,3938,266,130,43,9,7638.65,41142.47
2026-06,Paid Social,LinkedIn - Lead Gen,5051,161,57,16,1,5578.83,4154.23
2026-06,Paid Social,Meta - Retargeting,4848,146,58,13,1,4842.28,4151.78
2026-06,Paid Social,Meta - Prospecting,4617,143,48,10,1,4669.16,4763.62
2026-06,Email,Newsletter,2228,212,145,54,17,119.67,74275.3
2026-06,Email,Nurture Sequence,2244,185,95,43,16,122.49,57934.45
2026-06,Email,Product Updates,2435,190,127,46,16,129.97,59488.89
2026-06,Referral,Partner Referral,1990,214,124,62,28,0.0,113974.39
2026-06,Referral,Customer Referral,2255,176,130,60,19,0.0,90917.09
2026-06,Direct,Direct/None,7050,444,226,84,24,0.0,114207.88
2026-06,Content Syndication,Sponsored Content,2546,71,21,3,0,9751.85,0.0
2026-06,Content Syndication,Webinar Syndication,2852,70,20,3,0,9162.98,0.0
